,open,high,low,close,volume,symbol,extraction_time
2025-12-03 12:55:00,303.2,303.245,303.035,303.1675,16241,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:00:00,303.1,303.7,303.09,303.44,52264,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:05:00,303.4,303.51,302.785,302.785,24018,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:10:00,302.84,302.92,302.55,302.55,29393,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:15:00,302.72,302.97,302.54,302.62,25958,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:20:00,302.62,302.75,302.42,302.485,24079,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:25:00,302.49,302.84,302.43,302.735,25522,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:30:00,302.755,302.85,302.22,302.22,26143,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:35:00,302.19,302.37,302.08,302.185,20974,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:40:00,302.1496,302.6,302.09,302.43,23063,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:45:00,302.52,302.7899,302.44,302.615,18121,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:50:00,302.67,302.93,302.66,302.925,14757,IBM,2025-12-04 20:16:22.002055
2025-12-03 13:55:00,302.88,303.07,302.81,303.05,11702,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:00:00,302.99,303.59,302.96,303.28,19134,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:05:00,303.28,303.3,303.005,303.235,11876,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:10:00,303.19,303.28,303.07,303.075,12558,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:15:00,303.105,303.15,302.92,303.025,12918,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:20:00,303.07,303.07,302.781,303.01,11719,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:25:00,302.955,303.12,302.9,303.065,15547,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:30:00,303.05,303.12,302.89,303.0815,14577,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:35:00,303.1,303.2299,302.745,302.91,11826,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:40:00,302.8,303.13,302.8,303.13,18347,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:45:00,303.1,303.25,302.98,303.1812,13370,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:50:00,303.17,303.24,302.95,303.105,9874,IBM,2025-12-04 20:16:22.002055
2025-12-03 14:55:00,303.105,303.17,302.825,302.875,23464,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:00:00,302.92,302.99,302.85,302.89,16021,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:05:00,302.885,302.92,302.58,302.61,24374,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:10:00,302.655,302.97,302.655,302.87,17574,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:15:00,302.88,303.228,302.88,303.228,16100,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:20:00,303.175,303.491,303.175,303.42,358910,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:25:00,303.4,303.54,303.2801,303.45,20971,IBM,2025-12-04 20:16:22.002055
2025-12-03 15:30:00,303.45,303.58,303.11,303.2,45485,IBM,2025-12-04 20:16:22.002055
