,open,high,low,close,volume,symbol,extraction_time
2025-12-02 11:30:00,304.02,304.53,303.77,304.325,33290,IBM,2025-12-03 07:54:49.477058
2025-12-02 11:35:00,304.33,304.98,304.33,304.885,22718,IBM,2025-12-03 07:54:49.477058
2025-12-02 11:40:00,304.885,305.065,304.51,304.71,20870,IBM,2025-12-03 07:54:49.477058
2025-12-02 11:45:00,304.63,305.0758,304.55,304.93,12323,IBM,2025-12-03 07:54:49.477058
2025-12-02 11:50:00,304.93,305.06,304.685,304.85,16430,IBM,2025-12-03 07:54:49.477058
2025-12-02 11:55:00,304.91,305.13,304.6,304.685,14589,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:00:00,304.685,305.24,304.685,305.025,13317,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:05:00,304.995,305.045,304.75,305.0,24115,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:10:00,304.99,305.52,304.94,305.3323,30450,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:15:00,305.51,305.8999,305.345,305.885,12944,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:20:00,305.8693,306.04,305.72,305.79,13363,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:25:00,305.79,305.99,305.71,305.9679,13257,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:30:00,305.935,306.13,305.935,306.05,12271,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:35:00,306.074,306.09,305.72,305.725,16903,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:40:00,305.725,305.8699,305.65,305.7468,15324,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:45:00,305.75,305.86,305.61,305.85,18790,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:50:00,305.8,305.86,305.21,305.3715,17178,IBM,2025-12-03 07:54:49.477058
2025-12-02 12:55:00,305.35,305.35,304.47,304.64,20954,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:00:00,304.63,304.97,304.435,304.794,30723,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:05:00,304.71,305.0,304.57,304.645,31207,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:10:00,304.61,304.65,304.15,304.17,21334,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:15:00,304.23,304.385,303.8,304.34,34053,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:20:00,304.375,304.55,304.21,304.43,33502,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:25:00,304.39,304.53,304.135,304.46,27597,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:30:00,304.46,304.61,304.06,304.155,25155,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:35:00,304.14,304.29,303.95,304.07,20085,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:40:00,304.115,304.26,303.93,304.08,18759,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:45:00,304.155,304.25,303.98,304.11,18901,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:50:00,304.08,304.66,304.08,304.26,19642,IBM,2025-12-03 07:54:49.477058
2025-12-02 13:55:00,304.31,304.4,303.94,304.33,26789,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:00:00,304.24,304.75,304.12,304.62,16029,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:05:00,304.62,304.76,304.185,304.185,23153,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:10:00,304.21,304.59,304.12,304.394,43868,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:15:00,304.52,304.585,304.07,304.07,24915,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:20:00,304.07,304.14,303.02,303.1675,74160,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:25:00,303.17,303.48,303.13,303.46,43662,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:30:00,303.42,303.42,302.73,302.73,75117,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:35:00,302.73,303.33,302.63,303.275,73618,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:40:00,303.275,303.3,302.68,302.755,41003,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:45:00,302.755,302.83,302.58,302.58,49291,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:50:00,302.57,302.57,302.16,302.345,54948,IBM,2025-12-03 07:54:49.477058
2025-12-02 14:55:00,302.345,302.43,302.16,302.25,52478,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:00:00,302.28,302.74,302.07,302.74,73624,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:05:00,302.74,302.87,302.61,302.73,31285,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:10:00,302.77,302.9,302.71,302.82,22206,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:15:00,302.82,302.85,302.36,302.41,49455,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:20:00,302.39,302.77,302.31,302.5,51091,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:25:00,302.47,302.72,302.4,302.445,59992,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:30:00,302.445,303.192,302.4,303.12,58007,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:35:00,303.125,303.55,303.04,303.54,72892,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:40:00,303.5,303.51,303.165,303.5,49178,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:45:00,303.475,303.49,303.21,303.265,54923,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:50:00,303.3,303.4796,302.2,302.2,118054,IBM,2025-12-03 07:54:49.477058
2025-12-02 15:55:00,302.21,302.37,301.57,301.83,441275,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:00:00,301.82,303.17,301.7025,301.78,2073486,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:05:00,302.98,305.67,301.51,301.51,760,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:10:00,301.78,302.97,301.51,302.0,964219,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:15:00,301.78,302.6,301.78,301.96,11,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:20:00,301.96,302.01,301.78,301.78,1960,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:25:00,302.6,302.6,301.78,301.908,238,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:30:00,301.98,302.04,301.78,302.04,72,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:35:00,301.9,302.59,301.9,302.59,99,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:40:00,302.2,302.59,302.01,302.59,113,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:45:00,301.8948,302.57,301.8948,302.57,26,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:50:00,301.9,302.5788,301.9,302.3,13,IBM,2025-12-03 07:54:49.477058
2025-12-02 16:55:00,302.46,302.58,302.0,302.12,474,IBM,2025-12-03 07:54:49.477058
2025-12-02 17:00:00,302.5,302.5,301.87,302.0,27,IBM,2025-12-03 07:54:49.477058
2025-12-02 17:05:00,302.48,302.48,301.9,302.25,141,IBM,2025-12-03 07:54:49.477058
