,open,high,low,close,volume,symbol,extraction_time,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,volume_rolling_mean_5,close_rolling_mean_10,close_rolling_std_10,volume_rolling_mean_10,close_rolling_mean_20,close_rolling_std_20,volume_rolling_mean_20,price_change,price_change_pct,returns,volatility,volatility_pct,hour,day_of_week,month,sma_5,sma_20,ema_5,ema_20,rsi,target
2025-12-02 14:35:00,302.73,303.33,302.63,303.275,73618,IBM,2025-12-03 07:53:08.808114,302.73,75117.0,303.46,43662.0,303.1675,74160.0,304.394,43868.0,304.11,18901.0,303.34049999999996,0.48820589918711443,58294.4,303.84915,0.6369096416812315,42095.3,304.087275,0.5311848591639187,34113.45,0.5449999999999591,0.18002840815246557,0.0018002840815245502,0.6999999999999886,0.23081361800345845,14,1,12,303.34049999999996,304.087275,303.3629803842211,304.0387135070671,36.46642302421155,302.755
2025-12-02 14:40:00,303.275,303.3,302.68,302.755,41003,IBM,2025-12-03 07:53:08.808114,303.275,73618.0,302.73,75117.0,303.46,43662.0,304.07,24915.0,304.26,19642.0,303.0775,0.3233322594503551,61512.0,303.69865,0.7033845972627601,44231.4,303.985325,0.5816768019900511,34627.45,-0.5199999999999818,-0.17146154480256595,-0.001714615448025647,0.6200000000000045,0.2047860481247228,14,1,12,303.0775,303.985325,303.16032025614743,303.9164550778226,34.75941650337444,302.58
2025-12-02 14:45:00,302.755,302.83,302.58,302.58,49291,IBM,2025-12-03 07:53:08.808114,302.755,41003.0,303.275,73618.0,302.73,75117.0,303.1675,74160.0,304.33,26789.0,302.96,0.38358506227609285,56538.2,303.52365,0.7453018795538299,46481.6,303.882075,0.6388792051831397,35531.65,-0.17500000000001137,-0.05780251358359445,-0.0005780251358359356,0.25,0.08262277744728667,14,1,12,302.96,303.882075,302.96688017076497,303.7891736418395,34.09139440529525,302.345
2025-12-02 14:50:00,302.57,302.57,302.16,302.345,54948,IBM,2025-12-03 07:53:08.808114,302.58,49291.0,302.755,41003.0,303.275,73618.0,303.46,43662.0,304.62,16029.0,302.737,0.3421001315426482,58795.4,303.29615,0.7202579804022197,50373.5,303.790825,0.7206843837080568,37212.35,-0.2249999999999659,-0.07436295733217632,-0.0007766541080043154,0.40999999999996817,0.13560667449435848,14,1,12,302.737,303.790825,302.75958678051,303.6516332949977,32.32477587612051,302.25
2025-12-02 14:55:00,302.345,302.43,302.16,302.25,52478,IBM,2025-12-03 07:53:08.808114,302.345,54948.0,302.58,49291.0,302.755,41003.0,302.73,75117.0,304.185,23153.0,302.64099999999996,0.40594642503852385,54267.6,303.10265,0.7148346370546435,53306.0,303.686325,0.7854759582066321,38133.6,-0.09500000000002728,-0.03142105872431404,-0.00031421058724312445,0.2699999999999818,0.08933002481388977,14,1,12,302.64099999999996,303.686325,302.58972452034004,303.5181444097598,31.299014679267316,302.74
2025-12-02 15:00:00,302.28,302.74,302.07,302.74,73624,IBM,2025-12-03 07:53:08.808114,302.25,52478.0,302.345,54948.0,302.58,49291.0,303.275,73618.0,304.394,43868.0,302.534,0.22900327508931823,54268.8,302.93725,0.5567021570519998,56281.6,303.601825,0.7921373697153415,40139.7,0.4600000000000364,0.15217678973138693,0.0016211745244003595,0.6700000000000159,0.22131201691220712,15,1,12,302.534,303.601825,302.6398163468934,303.44403541835413,35.695463956333356,302.73
2025-12-02 15:05:00,302.74,302.87,302.61,302.73,31285,IBM,2025-12-03 07:53:08.808114,302.74,73624.0,302.25,52478.0,302.345,54948.0,302.755,41003.0,304.07,24915.0,302.529,0.22317033853458002,52325.2,302.80325,0.39008911018965325,56918.6,303.51532499999996,0.7879393557177975,40324.1,-0.009999999999990905,-0.003303164431522397,-3.303164431522898e-05,0.2599999999999909,0.08588511214613381,15,1,12,302.529,303.51532499999996,302.6698775645956,303.3760320451775,34.77060727203498,302.82
2025-12-02 15:10:00,302.77,302.9,302.71,302.82,22206,IBM,2025-12-03 07:53:08.808114,302.73,31285.0,302.74,73624.0,302.25,52478.0,302.58,49291.0,303.1675,74160.0,302.577,0.25970175201875456,46908.2,302.7685,0.3689402992952992,51723.2,303.448575,0.787444288338113,40176.65,0.05000000000001137,0.016514185685507603,0.0002972946189672143,0.18999999999999773,0.06274354401954882,15,1,12,302.577,303.448575,302.7199183763971,303.32307661230345,32.18879873342496,302.41
2025-12-02 15:15:00,302.82,302.85,302.36,302.41,49455,IBM,2025-12-03 07:53:08.808114,302.82,22206.0,302.73,31285.0,302.74,73624.0,302.345,54948.0,303.46,43662.0,302.59000000000003,0.24647515088057698,45809.6,302.6635,0.29157665277606715,52302.5,303.36557500000004,0.8057683694033976,41645.15,-0.40999999999996817,-0.13539396341059645,-0.0013539396341060161,0.4900000000000091,0.16203167884660197,15,1,12,302.59000000000003,303.36557500000004,302.61661225093144,303.2361169349412,32.34884645982447,302.5
2025-12-02 15:20:00,302.39,302.77,302.31,302.5,51091,IBM,2025-12-03 07:53:08.808114,302.41,49455.0,302.82,22206.0,302.73,31285.0,302.25,52478.0,302.73,75117.0,302.64,0.17535677917200435,45532.2,302.6405,0.2948017224427338,49899.9,303.28657499999997,0.8094828640781949,43261.75,0.11000000000001364,0.036376864314300615,0.0002976092060447133,0.45999999999997954,0.15206611570247255,15,1,12,302.64,303.28657499999997,302.57774150062096,303.1660105601849,30.70890201670302,302.445
