,open,high,low,close,volume,symbol,extraction_time,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,volume_rolling_mean_5,close_rolling_mean_10,close_rolling_std_10,volume_rolling_mean_10,close_rolling_mean_20,close_rolling_std_20,volume_rolling_mean_20,price_change,price_change_pct,returns,volatility,volatility_pct,hour,day_of_week,month,sma_5,sma_20,ema_5,ema_20,rsi,target
2025-11-28 10:15:00,276.68,276.7985,276.475,276.5,190418,AAPL,2025-12-01 16:48:01.078294,276.67,235801.0,276.65,328786.0,276.54,338193.0,276.39,426154.0,277.25,69693.0,276.52602,0.16005374722185928,295974.0,276.64502,0.2803430469977985,437934.4,277.492835,0.9355811738812666,236542.25,-0.18000000000000682,-0.06505710568165636,-0.0006144504283080998,0.32349999999996726,0.11699819168172415,10,4,11,276.52602,277.492835,276.5908230734247,277.2608729683834,22.638559413414384,276.42
2025-11-28 10:20:00,276.49,276.9,276.2,276.42,247488,AAPL,2025-12-01 16:48:01.078294,276.5,190418.0,276.67,235801.0,276.65,328786.0,276.2701,386672.0,277.11,1263895.0,276.55600000000004,0.10454664030836149,268137.2,276.57601999999997,0.2343187800127871,336293.7,277.383835,0.9267507223315748,248467.45,-0.06999999999999318,-0.025317371333499646,-0.0002893309222422591,0.6999999999999886,0.2532378264959079,10,4,11,276.55600000000004,277.383835,276.5338820489498,277.18078982853734,22.397055685940245,276.26
2025-11-28 10:25:00,276.42,276.53,276.13,276.26,192777,AAPL,2025-12-01 16:48:01.078294,276.42,247488.0,276.5,190418.0,276.67,235801.0,276.54,338193.0,277.04,442116.0,276.5,0.16985287751389444,239054.0,276.49802,0.18794172146354837,311359.8,277.267335,0.9135009931576389,257946.05,-0.160000000000025,-0.05788293177050322,-0.0005788293177050319,0.39999999999997726,0.1447911387822983,10,4,11,276.5,277.267335,276.44258803263324,277.09309555915286,21.986595455021913,276.47
2025-11-28 10:30:00,276.29,276.59,276.2,276.47,186863,AAPL,2025-12-01 16:48:01.078294,276.26,192777.0,276.42,247488.0,276.5,190418.0,276.65,328786.0,276.4201,437359.0,276.46400000000006,0.1477497884930534,210669.4,276.50301,0.1862982701059231,286310.2,277.164335,0.8791274808910768,255259.35,0.18000000000000682,0.06514893771037925,0.0007601534786072506,0.38999999999998636,0.14106412992367573,10,4,11,276.46400000000006,277.164335,276.45172535508885,277.0337531249478,28.5341523742227,276.4794
2025-11-28 10:35:00,276.48,276.55,276.3,276.4794,208709,AAPL,2025-12-01 16:48:01.078294,276.47,186863.0,276.26,192777.0,276.42,247488.0,276.67,235801.0,276.86,329950.0,276.42588,0.09728243417867828,205251.0,276.46495,0.13783780524794995,274186.1,277.06680500000004,0.838589777056819,265426.5,-0.0006000000000199179,-0.000217013888896093,3.400007234044544e-05,0.25,0.09042264993341276,10,4,11,276.42588,277.06680500000004,276.4609502367259,276.98095758923847,36.66320526133638,276.5
2025-11-28 10:40:00,276.45,276.64,276.34,276.5,134371,AAPL,2025-12-01 16:48:01.078294,276.4794,208709.0,276.47,186863.0,276.26,192777.0,276.5,190418.0,276.39,426154.0,276.42588,0.09728243417867828,194041.6,276.47595,0.13556234523074476,245007.8,276.96495500000003,0.7716608741607418,272078.05,0.05000000000001137,0.01808645324652247,7.450826354515883e-05,0.30000000000001137,0.1084990958408721,10,4,11,276.42588,276.96495500000003,276.47396682448397,276.9351521045491,38.98757943385334,276.58
2025-11-28 10:45:00,276.51,276.63,276.37,276.58,189087,AAPL,2025-12-01 16:48:01.078294,276.5,134371.0,276.4794,208709.0,276.47,186863.0,276.42,247488.0,276.2701,386672.0,276.45788000000005,0.11880013467895041,182361.4,276.50694,0.11749360455414097,225249.3,276.867455,0.6814245561785656,281417.55,0.06999999999999318,0.025315540125128634,0.0002893309222422591,0.2599999999999909,0.09400535107382707,10,4,11,276.45788000000005,276.867455,276.50931121632266,276.90132809459203,41.72542811915339,276.7
2025-11-28 10:50:00,276.58,276.88,276.56,276.7,202052,AAPL,2025-12-01 16:48:01.078294,276.58,189087.0,276.5,134371.0,276.4794,208709.0,276.26,192777.0,276.54,338193.0,276.54588,0.09643584395731561,184216.4,276.52293999999995,0.13243947212892718,211635.2,276.77795499999996,0.564643948804067,291248.0,0.12000000000000455,0.04338708511100027,0.00043387085111001866,0.3199999999999932,0.11564871702204307,10,4,11,276.54588,276.77795499999996,276.5728741442151,276.88215399034516,56.138965653375266,276.465
2025-11-28 10:55:00,276.7,276.7,276.33,276.465,217785,AAPL,2025-12-01 16:48:01.078294,276.7,202052.0,276.58,189087.0,276.5,134371.0,276.47,186863.0,276.65,328786.0,276.54488,0.09744009441580463,190400.8,276.50444,0.12545571330160601,200535.1,276.681205,0.4191050985825613,301909.3,-0.23500000000001364,-0.08492952656306962,-0.0008492952656307118,0.37000000000000455,0.13383249235888975,10,4,11,276.54488,276.681205,276.53691609614344,276.84242503888373,40.48101021785157,276.625
2025-11-28 11:00:00,276.465,276.7,276.23,276.625,239171,AAPL,2025-12-01 16:48:01.078294,276.465,217785.0,276.7,202052.0,276.58,189087.0,276.4794,208709.0,276.67,235801.0,276.57399999999996,0.09469688484722905,196493.2,276.49994000000004,0.11952420675333772,200872.1,276.60998,0.26821048019085136,313367.0,0.160000000000025,0.05787351020925797,0.000578735102092498,0.46999999999997044,0.16990510619068067,11,4,11,276.57399999999996,276.60998,276.56627739742896,276.82171789232336,56.65797824116072,276.67
2025-11-28 11:05:00,276.64,276.9199,276.6,276.67,180380,AAPL,2025-12-01 16:48:01.078294,276.625,239171.0,276.465,217785.0,276.7,202052.0,276.5,134371.0,276.5,190418.0,276.608,0.09196466712699598,205695.0,276.51694000000003,0.13106602407443468,199868.3,276.58098,0.22289449616589022,318901.35,0.03000000000002956,0.010844418739166266,0.00016267510167189414,0.31989999999996144,0.11562511295043244,11,4,11,276.608,276.58098,276.600851598286,276.80726856924497,61.8320610687018,276.6855
2025-11-28 11:10:00,276.67,276.74,276.47,276.6855,129654,AAPL,2025-12-01 16:48:01.078294,276.67,180380.0,276.625,239171.0,276.465,217785.0,276.58,189087.0,276.42,247488.0,276.6291,0.09595076862528458,193808.4,276.54349,0.136043624130932,188084.9,276.559755,0.187224805697353,262189.3,0.015499999999974534,0.005602342140446934,5.602342140442751e-05,0.2699999999999818,0.09758371869866032,11,4,11,276.6291,276.559755,276.6290677321907,276.7956715626502,55.067920585160756,276.53
2025-11-28 11:15:00,276.69,276.715,276.52,276.53,143543,AAPL,2025-12-01 16:48:01.078294,276.6855,129654.0,276.67,180380.0,276.625,239171.0,276.7,202052.0,276.26,192777.0,276.5951,0.09465754063876916,182106.6,276.57048999999995,0.09374682750192849,183161.5,276.53425500000003,0.14925332218815118,247260.65,-0.160000000000025,-0.0578264483718331,-0.0005620099354682884,0.19499999999999318,0.07051676129171995,11,4,11,276.5951,276.53425500000003,276.59604515479384,276.7703695090645,45.948683322079816,276.2174
2025-11-28 11:20:00,276.54,276.57,276.165,276.2174,226843,AAPL,2025-12-01 16:48:01.078294,276.53,143543.0,276.6855,129654.0,276.67,180380.0,276.465,217785.0,276.47,186863.0,276.54558,0.19320347305309127,183918.2,276.54523,0.14425665438150376,187159.5,276.52412,0.16360509128607792,236734.85,-0.32260000000002265,-0.1166558183264709,-0.0011304379271687148,0.4049999999999727,0.14662363775778525,11,4,11,276.54558,276.52412,276.46983010319593,276.7177057462965,37.240640505186995,276.25
